,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,,,PLATA,,
,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,,,,ORO,OSPADEP ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO,,BRONCE,PLATA,ORO
,TITULAR (0 a 29) ," $  1,023 "," $  1,154 "," $  1,469 ",," $  1,115 "," $  1,258 "," $  1,601 ",," $  1,182 "," $  1,333 "," $  1,697 ",," $  1,253 "," $  1,413 "," $  1,799 ",," $  1,316 "," $  1,484 "," $  1,889 ",," $  1,381 "," $  1,558 "," $  1,984 ",," $  1,464 "," $  1,652 "," $  2,103 ",," $  1,523 "," $  1,718 "," $  2,187 ",," $  1,637 "," $  1,847 "," $  2,351 ",," $  1,760 "," $  1,985 "," $  2,527 ",," $  1,901 "," $  2,144 "," $  2,729 ",," $  2,062 "," $  2,326 "," $  2,961 ",," $  2,165 "," $  2,442 "," $  3,109 ",," $  2,328 "," $  2,626 "," $  3,342 ",," $  2,456 "," $  2,770 "," $  3,526 ",," $  2,595 "," $  2,928 "," $  3,727 ",," $  2,735 "," $  3,085 "," $  3,927 ",," $  2,844 "," $  3,208 "," $  4,084 ",," $  2,958 "," $  3,337 "," $  4,248 ",," $  101,195 "," $  121,979 "," $  138,621 "
,CONYUGE (0 a 29) ," $  1,887 "," $  2,162 "," $  2,769 ",," $  2,057 "," $  2,357 "," $  3,018 ",," $  2,180 "," $  2,498 "," $  3,199 ",," $  2,311 "," $  2,648 "," $  3,391 ",," $  2,427 "," $  2,780 "," $  3,561 ",," $  2,548 "," $  2,919 "," $  3,739 ",," $  2,701 "," $  3,094 "," $  3,963 ",," $  2,809 "," $  3,218 "," $  4,122 ",," $  3,020 "," $  3,460 "," $  4,431 ",," $  3,246 "," $  3,719 "," $  4,763 ",," $  3,506 "," $  4,017 "," $  5,144 ",," $  3,804 "," $  4,358 "," $  5,581 ",," $  3,994 "," $  4,576 "," $  5,861 ",," $  4,293 "," $  4,919 "," $  6,300 ",," $  4,529 "," $  5,190 "," $  6,647 ",," $  4,787 "," $  5,485 "," $  7,025 ",," $  5,045 "," $  5,780 "," $  7,403 ",," $  5,246 "," $  6,011 "," $  7,699 ",," $  5,456 "," $  6,252 "," $  8,007 ",," $  87,771 "," $  106,543 "," $  124,071 "
,TITULAR (30 a 39) ," $  1,348 "," $  1,461 "," $  1,891 ",," $  1,469 "," $  1,592 "," $  2,061 ",," $  1,557 "," $  1,688 "," $  2,185 ",," $  1,651 "," $  1,789 "," $  2,316 ",," $  1,733 "," $  1,879 "," $  2,432 ",," $  1,820 "," $  1,973 "," $  2,553 ",," $  1,929 "," $  2,091 "," $  2,707 ",," $  2,007 "," $  2,175 "," $  2,815 ",," $  2,157 "," $  2,338 "," $  3,026 ",," $  2,319 "," $  2,513 "," $  3,253 ",," $  2,504 "," $  2,714 "," $  3,513 ",," $  2,717 "," $  2,945 "," $  3,812 ",," $  2,853 "," $  3,092 "," $  4,002 ",," $  3,067 "," $  3,324 "," $  4,302 ",," $  3,236 "," $  3,507 "," $  4,539 ",," $  3,420 "," $  3,706 "," $  4,797 ",," $  3,604 "," $  3,906 "," $  5,055 ",," $  3,748 "," $  4,062 "," $  5,258 ",," $  3,898 "," $  4,225 "," $  5,468 ",," $  127,200 "," $  154,415 "," $  178,432 "
,CONYUGE (30 a 39) ," $  2,384 "," $  2,668 "," $  3,527 ",," $  2,599 "," $  2,908 "," $  3,844 ",," $  2,754 "," $  3,083 "," $  4,075 ",," $  2,920 "," $  3,268 "," $  4,320 ",," $  3,066 "," $  3,431 "," $  4,536 ",," $  3,219 "," $  3,602 "," $  4,762 ",," $  3,412 "," $  3,819 "," $  5,048 ",," $  3,549 "," $  3,971 "," $  5,250 ",," $  3,815 "," $  4,269 "," $  5,644 ",," $  4,101 "," $  4,589 "," $  6,067 ",," $  4,429 "," $  4,957 "," $  6,552 ",," $  4,805 "," $  5,378 "," $  7,109 ",," $  5,046 "," $  5,647 "," $  7,465 ",," $  5,424 "," $  6,070 "," $  8,025 ",," $  5,722 "," $  6,404 "," $  8,466 ",," $  6,048 "," $  6,768 "," $  8,948 ",," $  6,373 "," $  7,133 "," $  9,429 ",," $  6,628 "," $  7,418 "," $  9,806 ",," $  6,893 "," $  7,715 "," $  10,198 ",," $  102,308 "," $  127,560 "," $  153,063 "
,TITULAR (40 a 49) ," $  1,753 "," $  1,843 "," $  2,387 ",," $  1,911 "," $  2,009 "," $  2,602 ",," $  2,025 "," $  2,129 "," $  2,758 ",," $  2,147 "," $  2,257 "," $  2,923 ",," $  2,254 "," $  2,370 "," $  3,070 ",," $  2,367 "," $  2,489 "," $  3,223 ",," $  2,509 "," $  2,638 "," $  3,416 ",," $  2,609 "," $  2,743 "," $  3,553 ",," $  2,805 "," $  2,949 "," $  3,820 ",," $  3,015 "," $  3,170 "," $  4,106 ",," $  3,257 "," $  3,424 "," $  4,435 ",," $  3,534 "," $  3,715 "," $  4,811 ",," $  3,710 "," $  3,901 "," $  5,052 ",," $  3,988 "," $  4,193 "," $  5,431 ",," $  4,208 "," $  4,424 "," $  5,730 ",," $  4,447 "," $  4,675 "," $  6,056 ",," $  4,686 "," $  4,927 "," $  6,381 ",," $  4,874 "," $  5,124 "," $  6,637 ",," $  5,069 "," $  5,329 "," $  6,902 ",," $  165,412 "," $  194,781 "," $  225,227 "
,CONYUGE (40 a 49) ," $  3,023 "," $  3,475 "," $  4,523 ",," $  3,295 "," $  3,788 "," $  4,930 ",," $  3,493 "," $  4,015 "," $  5,226 ",," $  3,702 "," $  4,256 "," $  5,539 ",," $  3,887 "," $  4,469 "," $  5,816 ",," $  4,082 "," $  4,692 "," $  6,107 ",," $  4,327 "," $  4,974 "," $  6,474 ",," $  4,500 "," $  5,173 "," $  6,733 ",," $  4,837 "," $  5,561 "," $  7,238 ",," $  5,200 "," $  5,978 "," $  7,780 ",," $  5,616 "," $  6,456 "," $  8,403 ",," $  6,093 "," $  7,005 "," $  9,117 ",," $  6,398 "," $  7,355 "," $  9,573 ",," $  6,878 "," $  7,906 "," $  10,291 ",," $  7,256 "," $  8,341 "," $  10,857 ",," $  7,669 "," $  8,816 "," $  11,474 ",," $  8,082 "," $  9,290 "," $  12,092 ",," $  8,405 "," $  9,662 "," $  12,575 ",," $  8,741 "," $  10,048 "," $  13,078 ",," $  121,212 "," $  172,461 "," $  199,457 "
,TITULAR (50 a 59)," $  2,543 "," $  2,887 "," $  3,710 ",," $  2,772 "," $  3,147 "," $  4,044 ",," $  2,938 "," $  3,336 "," $  4,287 ",," $  3,114 "," $  3,536 "," $  4,544 ",," $  3,270 "," $  3,713 "," $  4,771 ",," $  3,434 "," $  3,898 "," $  5,009 ",," $  3,640 "," $  4,132 "," $  5,310 ",," $  3,785 "," $  4,297 "," $  5,522 ",," $  4,069 "," $  4,620 "," $  5,937 ",," $  4,374 "," $  4,966 "," $  6,382 ",," $  4,724 "," $  5,363 "," $  6,892 ",," $  5,126 "," $  5,819 "," $  7,478 ",," $  5,382 "," $  6,110 "," $  7,852 ",," $  5,786 "," $  6,569 "," $  8,441 ",," $  6,104 "," $  6,930 "," $  8,905 ",," $  6,451 "," $  7,324 "," $  9,412 ",," $  6,798 "," $  7,718 "," $  9,918 ",," $  7,070 "," $  8,027 "," $  10,315 ",," $  7,353 "," $  8,348 "," $  10,728 ",," $  239,944 "," $  305,110 "," $  350,078 "
,CONYUGE (50 a 59)," $  3,767 "," $  4,240 "," $  5,491 ",," $  4,106 "," $  4,622 "," $  5,985 ",," $  4,352 "," $  4,899 "," $  6,344 ",," $  4,614 "," $  5,193 "," $  6,725 ",," $  4,844 "," $  5,452 "," $  7,061 ",," $  5,086 "," $  5,725 "," $  7,414 ",," $  5,392 "," $  6,069 "," $  7,859 ",," $  5,607 "," $  6,311 "," $  8,173 ",," $  6,028 "," $  6,785 "," $  8,787 ",," $  6,480 "," $  7,294 "," $  9,445 ",," $  6,998 "," $  7,877 "," $  10,201 ",," $  7,593 "," $  8,547 "," $  11,068 ",," $  7,973 "," $  8,974 "," $  11,622 ",," $  8,571 "," $  9,647 "," $  12,493 ",," $  9,042 "," $  10,178 "," $  13,180 ",," $  9,556 "," $  10,756 "," $  13,930 ",," $  10,071 "," $  11,335 "," $  14,680 ",," $  10,473 "," $  11,789 "," $  15,267 ",," $  10,892 "," $  12,260 "," $  15,877 ",," $  128,240 "," $  177,026 "," $  165,240 "
,TITULAR (60 en +)," $  2,770 "," $  3,139 "," $  4,040 ",," $  3,019 "," $  3,422 "," $  4,404 ",," $  3,200 "," $  3,627 "," $  4,668 ",," $  3,392 "," $  3,844 "," $  4,948 ",," $  3,562 "," $  4,037 "," $  5,195 ",," $  3,740 "," $  4,238 "," $  5,455 ",," $  3,965 "," $  4,493 "," $  5,782 ",," $  4,123 "," $  4,672 "," $  6,014 ",," $  4,432 "," $  5,023 "," $  6,465 ",," $  4,765 "," $  5,400 "," $  6,950 ",," $  5,146 "," $  5,832 "," $  7,505 ",," $  5,583 "," $  6,327 "," $  8,143 ",," $  5,863 "," $  6,644 "," $  8,551 ",," $  6,302 "," $  7,142 "," $  9,192 ",," $  6,649 "," $  7,535 "," $  9,697 ",," $  7,027 "," $  7,963 "," $  10,249 ",," $  7,405 "," $  8,392 "," $  10,800 ",," $  7,701 "," $  8,727 "," $  11,233 ",," $  8,010 "," $  9,077 "," $  11,682 ",," $  261,383 "," $  331,738 "," $  381,209 "
,CONYUGE (60 en +)," $  4,098 "," $  4,638 "," $  5,979 ",," $  4,467 "," $  5,055 "," $  6,517 ",," $  4,735 "," $  5,359 "," $  6,908 ",," $  5,019 "," $  5,680 "," $  7,323 ",," $  5,270 "," $  5,964 "," $  7,689 ",," $  5,533 "," $  6,262 "," $  8,073 ",," $  5,865 "," $  6,638 "," $  8,558 ",," $  6,100 "," $  6,904 "," $  8,900 ",," $  6,557 "," $  7,422 "," $  9,567 ",," $  7,049 "," $  7,978 "," $  10,285 ",," $  7,613 "," $  8,616 "," $  11,108 ",," $  8,260 "," $  9,349 "," $  12,052 ",," $  8,673 "," $  9,816 "," $  12,654 ",," $  9,324 "," $  10,552 "," $  13,604 ",," $  9,837 "," $  11,133 "," $  14,352 ",," $  10,396 "," $  11,766 "," $  15,168 ",," $  10,956 "," $  12,399 "," $  15,984 ",," $  11,394 "," $  12,895 "," $  16,624 ",," $  11,850 "," $  13,411 "," $  17,289 ",," $  127,625 "," $  193,715 "," $  178,279 "
,1er H ( < a 21), $  800 , $  981 ," $  1,247 ",, $  872 ," $  1,069 "," $  1,359 ",, $  924 ," $  1,133 "," $  1,441 ",, $  980 ," $  1,201 "," $  1,527 ",," $  1,029 "," $  1,262 "," $  1,604 ",," $  1,080 "," $  1,325 "," $  1,684 ",," $  1,145 "," $  1,404 "," $  1,785 ",," $  1,191 "," $  1,460 "," $  1,856 ",," $  1,280 "," $  1,570 "," $  1,995 ",," $  1,376 "," $  1,687 "," $  2,145 ",," $  1,486 "," $  1,822 "," $  2,317 ",," $  1,613 "," $  1,977 "," $  2,514 ",," $  1,693 "," $  2,076 "," $  2,639 ",," $  1,820 "," $  2,232 "," $  2,837 ",," $  1,920 "," $  2,355 "," $  2,993 ",," $  2,030 "," $  2,489 "," $  3,163 ",," $  2,139 "," $  2,623 "," $  3,334 ",," $  2,224 "," $  2,727 "," $  3,467 ",," $  2,313 "," $  2,837 "," $  3,606 ",," $  82,440 "," $  103,672 "," $  119,797 "
,2do H (< a 21), $  616 , $  716 , $  977 ,, $  671 , $  780 ," $  1,065 ",, $  712 , $  827 ," $  1,129 ",, $  754 , $  877 ," $  1,197 ",, $  792 , $  921 ," $  1,256 ",, $  832 , $  967 ," $  1,319 ",, $  882 ," $  1,025 "," $  1,398 ",, $  917 ," $  1,066 "," $  1,454 ",, $  986 ," $  1,146 "," $  1,563 ",," $  1,060 "," $  1,232 "," $  1,681 ",," $  1,144 "," $  1,330 "," $  1,815 ",," $  1,242 "," $  1,443 "," $  1,969 ",," $  1,304 "," $  1,515 "," $  2,068 ",," $  1,402 "," $  1,629 "," $  2,223 ",," $  1,479 "," $  1,719 "," $  2,345 ",," $  1,563 "," $  1,816 "," $  2,479 ",," $  1,647 "," $  1,914 "," $  2,612 ",," $  1,713 "," $  1,991 "," $  2,716 ",," $  1,781 "," $  2,070 "," $  2,825 ",," $  68,110 "," $  75,775 "," $  96,862 "
,H AD (21 a 29) ," $  1,023 "," $  1,157 "," $  1,469 ",," $  1,115 "," $  1,261 "," $  1,601 ",," $  1,182 "," $  1,337 "," $  1,697 ",," $  1,253 "," $  1,417 "," $  1,799 ",," $  1,316 "," $  1,488 "," $  1,889 ",," $  1,381 "," $  1,562 "," $  1,984 ",," $  1,464 "," $  1,656 "," $  2,103 ",," $  1,523 "," $  1,722 "," $  2,187 ",," $  1,637 "," $  1,851 "," $  2,351 ",," $  1,760 "," $  1,990 "," $  2,527 ",," $  1,901 "," $  2,149 "," $  2,729 ",," $  2,062 "," $  2,332 "," $  2,961 ",," $  2,165 "," $  2,449 "," $  3,109 ",," $  2,328 "," $  2,632 "," $  3,342 ",," $  2,456 "," $  2,777 "," $  3,526 ",," $  2,595 "," $  2,935 "," $  3,727 ",," $  2,735 "," $  3,093 "," $  3,927 ",," $  2,844 "," $  3,217 "," $  4,084 ",," $  2,958 "," $  3,346 "," $  4,248 ",," $  101,497 "," $  122,305 "," $  138,621 "
,FAMILIAR A CARGO," $  2,770 "," $  3,139 "," $  4,040 ",," $  3,019 "," $  3,422 "," $  4,404 ",," $  3,200 "," $  3,627 "," $  4,668 ",," $  3,392 "," $  3,844 "," $  4,948 ",," $  3,562 "," $  4,037 "," $  5,195 ",," $  3,740 "," $  4,238 "," $  5,455 ",," $  3,965 "," $  4,493 "," $  5,782 ",," $  4,123 "," $  4,672 "," $  6,014 ",," $  4,432 "," $  5,023 "," $  6,465 ",," $  4,765 "," $  5,400 "," $  6,950 ",," $  5,146 "," $  5,832 "," $  7,505 ",," $  5,583 "," $  6,327 "," $  8,143 ",," $  5,863 "," $  6,644 "," $  8,551 ",," $  6,302 "," $  7,142 "," $  9,192 ",," $  6,649 "," $  7,535 "," $  9,697 ",," $  7,027 "," $  7,963 "," $  10,249 ",," $  7,405 "," $  8,392 "," $  10,800 ",," $  7,701 "," $  8,727 "," $  11,233 ",," $  8,010 "," $  9,077 "," $  11,682 ",," $  261,383 "," $  331,738 "," $  381,209 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,las coberturas son:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,blanco : bronce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,verde: plata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,azul: oro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
